[0.008s] Invoking command in '/home/louise/Development/rover_project_gazebo/build/wave_rover_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/louise/Development/rover_project_gazebo/build/wave_rover_description -- -j8 -l8
[0.035s] Invoked command in '/home/louise/Development/rover_project_gazebo/build/wave_rover_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/louise/Development/rover_project_gazebo/build/wave_rover_description -- -j8 -l8
[0.041s] Invoking command in '/home/louise/Development/rover_project_gazebo/build/wave_rover_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/louise/Development/rover_project_gazebo/build/wave_rover_description
[0.046s] -- Install configuration: ""
[0.047s] -- Execute custom install script
[0.047s] -- Symlinking: /home/louise/Development/rover_project_gazebo/install/wave_rover_description/share/ament_index/resource_index/package_run_dependencies/wave_rover_description
[0.053s] -- Symlinking: /home/louise/Development/rover_project_gazebo/install/wave_rover_description/share/ament_index/resource_index/parent_prefix_path/wave_rover_description
[0.059s] -- Symlinking: /home/louise/Development/rover_project_gazebo/install/wave_rover_description/share/wave_rover_description/environment/ament_prefix_path.sh
[0.065s] -- Symlinking: /home/louise/Development/rover_project_gazebo/install/wave_rover_description/share/wave_rover_description/environment/ament_prefix_path.dsv
[0.071s] -- Symlinking: /home/louise/Development/rover_project_gazebo/install/wave_rover_description/share/wave_rover_description/environment/path.sh
[0.078s] -- Symlinking: /home/louise/Development/rover_project_gazebo/install/wave_rover_description/share/wave_rover_description/environment/path.dsv
[0.084s] -- Symlinking: /home/louise/Development/rover_project_gazebo/install/wave_rover_description/share/wave_rover_description/local_setup.bash
[0.090s] -- Symlinking: /home/louise/Development/rover_project_gazebo/install/wave_rover_description/share/wave_rover_description/local_setup.sh
[0.096s] -- Symlinking: /home/louise/Development/rover_project_gazebo/install/wave_rover_description/share/wave_rover_description/local_setup.zsh
[0.103s] -- Symlinking: /home/louise/Development/rover_project_gazebo/install/wave_rover_description/share/wave_rover_description/local_setup.dsv
[0.110s] -- Symlinking: /home/louise/Development/rover_project_gazebo/install/wave_rover_description/share/wave_rover_description/package.dsv
[0.116s] -- Symlinking: /home/louise/Development/rover_project_gazebo/install/wave_rover_description/share/ament_index/resource_index/packages/wave_rover_description
[0.123s] -- Symlinking: /home/louise/Development/rover_project_gazebo/install/wave_rover_description/share/wave_rover_description/cmake/wave_rover_descriptionConfig.cmake
[0.129s] -- Symlinking: /home/louise/Development/rover_project_gazebo/install/wave_rover_description/share/wave_rover_description/cmake/wave_rover_descriptionConfig-version.cmake
[0.136s] -- Symlinking: /home/louise/Development/rover_project_gazebo/install/wave_rover_description/share/wave_rover_description/package.xml
[0.144s] Invoked command in '/home/louise/Development/rover_project_gazebo/build/wave_rover_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/louise/Development/rover_project_gazebo/build/wave_rover_description
